CAS,Name,CategoryHint,Counts_CAT,Counts_RGT,Counts_SOL
1893346-27-4,Unresolved CAS 1893346-27-4,catalyst/ligand,1,0,0
2072108-68-8,Unresolved CAS 2072108-68-8,catalyst/ligand,1,0,0
2948365-07-7,Unresolved CAS 2948365-07-7,catalyst/ligand,1,0,0
2999684-16-9,Unresolved CAS 2999684-16-9,catalyst/ligand,1,0,0
2999684-18-1,Unresolved CAS 2999684-18-1,catalyst/ligand,1,0,0
3375-31-3,Unresolved CAS 3375-31-3,catalyst/ligand,1,0,0
3551-78-8,Unresolved CAS 3551-78-8,catalyst/ligand,1,0,0
51-35-4,Unresolved CAS 51-35-4,catalyst/ligand,1,0,0
524-38-9,Unresolved CAS 524-38-9,catalyst/ligand,1,0,0
563-86-0,Unresolved CAS 563-86-0,catalyst/ligand,1,0,0
58509-59-4,Unresolved CAS 58509-59-4,catalyst/ligand,1,0,0
598-56-1,Unresolved CAS 598-56-1,catalyst/ligand,1,0,0
602-09-5,Unresolved CAS 602-09-5,catalyst/ligand,1,0,0
657408-07-6,Unresolved CAS 657408-07-6,catalyst/ligand,1,0,0
6737-42-4,Unresolved CAS 6737-42-4,catalyst/ligand,1,0,0
72914-19-3,Unresolved CAS 72914-19-3,catalyst/ligand,1,0,0
7440-05-3,Unresolved CAS 7440-05-3,catalyst/ligand,1,0,0
7647-10-1,Unresolved CAS 7647-10-1,catalyst/ligand,1,0,0
826-81-3,Unresolved CAS 826-81-3,catalyst/ligand,1,0,0
98-98-6,Unresolved CAS 98-98-6,catalyst/ligand,1,0,0
534-17-8,Cesium carbonate (Cs2CO3),reagent/base/additive,0,431,0
865-47-4,Potassium tert-butoxide (KOtBu),reagent/base/additive,0,194,0
7782-44-7,Oxygen (O2),reagent/base/additive,0,182,0
12125-02-9,Ammonium chloride (NH4Cl),reagent/base/additive,0,138,0
1310-58-3,Potassium hydroxide (KOH),reagent/base/additive,0,128,0
1310-73-2,Sodium hydroxide (NaOH),reagent/base/additive,0,94,0
124-41-4,Sodium methoxide (NaOMe),reagent/base/additive,0,81,0
7647-01-0,Unresolved CAS 7647-01-0,reagent/base/additive,0,51,0
6674-22-2,DBU,reagent/base/additive,0,45,0
108-18-9,Unresolved CAS 108-18-9,reagent/base/additive,0,44,0
7087-68-5,Diisopropylethylamine (DIPEA),reagent/base/additive,0,43,0
64-19-7,Unresolved CAS 64-19-7,reagent/base/additive,0,39,0
29166-72-1,Unresolved CAS 29166-72-1,reagent/base/additive,0,38,0
26628-22-8,Unresolved CAS 26628-22-8,reagent/base/additive,0,32,0
497-19-8,Sodium carbonate (Na2CO3),reagent/base/additive,0,31,0
7681-82-5,Sodium iodide (NaI),reagent/base/additive,0,29,0
18027-10-6,Unresolved CAS 18027-10-6,reagent/base/additive,0,28,0
127-08-2,Potassium acetate (KOAc),reagent/base/additive,0,23,0
139139-80-3,Unresolved CAS 139139-80-3,reagent/base/additive,0,23,0
1907-33-1,Unresolved CAS 1907-33-1,reagent/base/additive,0,19,0
3001-72-7,DBN,reagent/base/additive,0,19,0
7428-60-6,Unresolved CAS 7428-60-6,reagent/base/additive,0,19,0
7647-14-5,Sodium chloride (NaCl),reagent/base/additive,0,19,0
865-48-5,Sodium tert-butoxide (NaOtBu),reagent/base/additive,0,19,0
144-55-8,Sodium bicarbonate (NaHCO3),reagent/base/additive,0,18,0
13494-80-9,Unresolved CAS 13494-80-9,reagent/base/additive,0,16,0
7440-23-5,Unresolved CAS 7440-23-5,reagent/base/additive,0,16,0
76-05-1,Unresolved CAS 76-05-1,reagent/base/additive,0,16,0
26937-01-9,Unresolved CAS 26937-01-9,reagent/base/additive,0,15,0
3240-34-4,Unresolved CAS 3240-34-4,reagent/base/additive,0,14,0
7778-77-0,Unresolved CAS 7778-77-0,reagent/base/additive,0,14,0
7758-11-4,Unresolved CAS 7758-11-4,reagent/base/additive,0,13,0
7772-98-7,Unresolved CAS 7772-98-7,reagent/base/additive,0,12,0
7782-49-2,Unresolved CAS 7782-49-2,reagent/base/additive,0,12,0
123-75-1,Pyrrolidine,reagent/base/additive,0,9,0
2712-78-9,Unresolved CAS 2712-78-9,reagent/base/additive,0,9,0
99-76-3,Unresolved CAS 99-76-3,reagent/base/additive,0,9,0
10025-87-3,Unresolved CAS 10025-87-3,reagent/base/additive,0,8,0
480-63-7,Unresolved CAS 480-63-7,reagent/base/additive,0,7,0
7775-41-9,Unresolved CAS 7775-41-9,reagent/base/additive,0,7,0
128-08-5,Unresolved CAS 128-08-5,reagent/base/additive,0,6,0
16872-11-0,Unresolved CAS 16872-11-0,reagent/base/additive,0,6,0
43148-65-8,Unresolved CAS 43148-65-8,reagent/base/additive,0,6,0
7646-69-7,Unresolved CAS 7646-69-7,reagent/base/additive,0,6,0
10544-50-0,Unresolved CAS 10544-50-0,reagent/base/additive,0,5,0
1184-88-9,Unresolved CAS 1184-88-9,reagent/base/additive,0,5,0
13400-13-0,Cesium fluoride (CsF),reagent/base/additive,0,5,0
540-80-7,Unresolved CAS 540-80-7,reagent/base/additive,0,5,0
75-76-3,Unresolved CAS 75-76-3,reagent/base/additive,0,5,0
10043-52-4,Unresolved CAS 10043-52-4,reagent/base/additive,0,4,0
41769-06-6,Unresolved CAS 41769-06-6,reagent/base/additive,0,4,0
429-41-4,Unresolved CAS 429-41-4,reagent/base/additive,0,4,0
58109-40-3,Unresolved CAS 58109-40-3,reagent/base/additive,0,4,0
75-91-2,Unresolved CAS 75-91-2,reagent/base/additive,0,4,0
7664-41-7,Unresolved CAS 7664-41-7,reagent/base/additive,0,4,0
84-58-2,Unresolved CAS 84-58-2,reagent/base/additive,0,4,0
88-18-6,Unresolved CAS 88-18-6,reagent/base/additive,0,4,0
10028-15-6,Unresolved CAS 10028-15-6,reagent/base/additive,0,3,0
7681-11-0,Unresolved CAS 7681-11-0,reagent/base/additive,0,3,0
867-44-7,Unresolved CAS 867-44-7,reagent/base/additive,0,3,0
937-14-4,Unresolved CAS 937-14-4,reagent/base/additive,0,3,0
10294-33-4,Unresolved CAS 10294-33-4,reagent/base/additive,0,2,0
107-15-3,Unresolved CAS 107-15-3,reagent/base/additive,0,2,0
109-72-8,Unresolved CAS 109-72-8,reagent/base/additive,0,2,0
128-09-6,Unresolved CAS 128-09-6,reagent/base/additive,0,2,0
1310-65-2,Unresolved CAS 1310-65-2,reagent/base/additive,0,2,0
2446-83-5,Unresolved CAS 2446-83-5,reagent/base/additive,0,2,0
2491-06-7,Unresolved CAS 2491-06-7,reagent/base/additive,0,2,0
3425-46-5,Unresolved CAS 3425-46-5,reagent/base/additive,0,2,0
39809-93-3,Unresolved CAS 39809-93-3,reagent/base/additive,0,2,0
516-12-1,Unresolved CAS 516-12-1,reagent/base/additive,0,2,0
538-75-0,Unresolved CAS 538-75-0,reagent/base/additive,0,2,0
631-61-8,Unresolved CAS 631-61-8,reagent/base/additive,0,2,0
75-22-9,Unresolved CAS 75-22-9,reagent/base/additive,0,2,0
108-24-7,Unresolved CAS 108-24-7,reagent/base/additive,0,1,0
109-63-7,Unresolved CAS 109-63-7,reagent/base/additive,0,1,0
109-89-7,Unresolved CAS 109-89-7,reagent/base/additive,0,1,0
1207294-91-4,Unresolved CAS 1207294-91-4,reagent/base/additive,0,1,0
12678-01-2,Unresolved CAS 12678-01-2,reagent/base/additive,0,1,0
1313-82-2,Unresolved CAS 1313-82-2,reagent/base/additive,0,1,0
1333-74-0,Unresolved CAS 1333-74-0,reagent/base/additive,0,1,0
1336-21-6,Unresolved CAS 1336-21-6,reagent/base/additive,0,1,0
143-33-9,Unresolved CAS 143-33-9,reagent/base/additive,0,1,0
148893-10-1,Unresolved CAS 148893-10-1,reagent/base/additive,0,1,0
16940-66-2,Unresolved CAS 16940-66-2,reagent/base/additive,0,1,0
2206-27-1,Unresolved CAS 2206-27-1,reagent/base/additive,0,1,0
2564-83-2,Unresolved CAS 2564-83-2,reagent/base/additive,0,1,0
25952-53-8,Unresolved CAS 25952-53-8,reagent/base/additive,0,1,0
2615-25-0,Unresolved CAS 2615-25-0,reagent/base/additive,0,1,0
2836-03-5,Unresolved CAS 2836-03-5,reagent/base/additive,0,1,0
2857-97-8,Unresolved CAS 2857-97-8,reagent/base/additive,0,1,0
354-38-1,Unresolved CAS 354-38-1,reagent/base/additive,0,1,0
546-93-0,Unresolved CAS 546-93-0,reagent/base/additive,0,1,0
626-39-1,Unresolved CAS 626-39-1,reagent/base/additive,0,1,0
74-88-4,Unresolved CAS 74-88-4,reagent/base/additive,0,1,0
7440-09-7,Unresolved CAS 7440-09-7,reagent/base/additive,0,1,0
7440-66-6,Unresolved CAS 7440-66-6,reagent/base/additive,0,1,0
7447-41-8,Unresolved CAS 7447-41-8,reagent/base/additive,0,1,0
75851-49-9,Unresolved CAS 75851-49-9,reagent/base/additive,0,1,0
7632-00-0,Unresolved CAS 7632-00-0,reagent/base/additive,0,1,0
77-92-9,Unresolved CAS 77-92-9,reagent/base/additive,0,1,0
7775-27-1,Unresolved CAS 7775-27-1,reagent/base/additive,0,1,0
110-70-3,"N,N'-Dimethylethylenediamine (DMEDA)",reagent/base/additive+catalyst/ligand,164,12,0
7787-70-4,Copper(I) bromide (CuBr),reagent/base/additive+catalyst/ligand,157,6,0
147-85-3,L-Proline,reagent/base/additive+catalyst/ligand,121,2,0
17455-13-9,Unresolved CAS 17455-13-9,reagent/base/additive+catalyst/ligand,33,5,0
108-00-9,Unresolved CAS 108-00-9,reagent/base/additive+catalyst/ligand,25,2,0
7553-56-2,Unresolved CAS 7553-56-2,reagent/base/additive+catalyst/ligand,24,13,0
366-18-7,Unresolved CAS 366-18-7,reagent/base/additive+catalyst/ligand,23,1,0
616-47-7,Unresolved CAS 616-47-7,reagent/base/additive+catalyst/ligand,20,1,0
1118-71-4,Unresolved CAS 1118-71-4,reagent/base/additive+catalyst/ligand,14,6,0
694-83-7,Unresolved CAS 694-83-7,reagent/base/additive+catalyst/ligand,12,11,0
95-14-7,Unresolved CAS 95-14-7,reagent/base/additive+catalyst/ligand,12,3,0
1662-01-7,Unresolved CAS 1662-01-7,reagent/base/additive+catalyst/ligand,12,1,0
2926-30-9,Unresolved CAS 2926-30-9,reagent/base/additive+catalyst/ligand,8,3,0
1122-58-3,Unresolved CAS 1122-58-3,reagent/base/additive+catalyst/ligand,5,11,0
110-18-9,Unresolved CAS 110-18-9,reagent/base/additive+catalyst/ligand,5,5,0
61798-24-1,Unresolved CAS 61798-24-1,reagent/base/additive+catalyst/ligand,5,3,0
603-35-0,Unresolved CAS 603-35-0,reagent/base/additive+catalyst/ligand,3,2,0
584-08-7,Potassium carbonate (K2CO3),reagent/base/additive+catalyst/ligand,1,785,0
7778-53-2,Tripotassium phosphate (K3PO4),reagent/base/additive+catalyst/ligand,1,643,0
110-05-4,Unresolved CAS 110-05-4,reagent/base/additive+catalyst/ligand,1,30,0
68-12-2,DMF,solvent,0,0,555
108-88-3,Toluene,solvent,0,0,333
123-91-1,"1,4-Dioxane",solvent,0,0,319
75-05-8,Acetonitrile,solvent,0,0,280
107-06-2,"1,2-Dichloroethane (DCE)",solvent,0,0,142
75-09-2,Dichloromethane,solvent,0,0,131
64-17-5,Ethanol,solvent,0,0,115
106-42-3,p-Xylene,solvent,0,0,78
126-33-0,Sulfolane (tetramethylene sulfone),solvent,0,0,75
109-99-9,THF,solvent,0,0,57
56-81-5,Unresolved CAS 56-81-5,solvent,0,0,47
67-56-1,Methanol,solvent,0,0,42
25322-68-3,Unresolved CAS 25322-68-3,solvent,0,0,32
95-50-1,Unresolved CAS 95-50-1,solvent,0,0,32
67-63-0,Isopropanol,solvent,0,0,31
141-78-6,Ethyl acetate,solvent,0,0,29
110-71-4,DME,solvent,0,0,28
67-48-1,Unresolved CAS 67-48-1,solvent,0,0,25
127-19-5,DMAc,solvent,0,0,20
71-36-3,1-Butanol,solvent,0,0,18
680-31-9,Unresolved CAS 680-31-9,solvent,0,0,16
67-66-3,Chloroform,solvent,0,0,11
75-65-0,tert-Butanol,solvent,0,0,10
111-46-6,Unresolved CAS 111-46-6,solvent,0,0,9
108-38-3,Unresolved CAS 108-38-3,solvent,0,0,7
142-96-1,Unresolved CAS 142-96-1,solvent,0,0,7
71-43-2,Benzene,solvent,0,0,7
920-66-1,Unresolved CAS 920-66-1,solvent,0,0,7
1330-20-7,Xylene,solvent,0,0,5
75-85-4,tert-Amyl alcohol,solvent,0,0,3
109-86-4,Unresolved CAS 109-86-4,solvent,0,0,2
5614-37-9,Unresolved CAS 5614-37-9,solvent,0,0,2
95-47-6,Unresolved CAS 95-47-6,solvent,0,0,2
96-47-9,Unresolved CAS 96-47-9,solvent,0,0,2
98-95-3,Unresolved CAS 98-95-3,solvent,0,0,2
101-84-8,Unresolved CAS 101-84-8,solvent,0,0,1
108-70-3,Unresolved CAS 108-70-3,solvent,0,0,1
109-83-1,Unresolved CAS 109-83-1,solvent,0,0,1
120-82-1,Unresolved CAS 120-82-1,solvent,0,0,1
288-32-4,Unresolved CAS 288-32-4,solvent,0,0,1
350-46-9,Unresolved CAS 350-46-9,solvent,0,0,1
462-06-6,Unresolved CAS 462-06-6,solvent,0,0,1
60-29-7,Unresolved CAS 60-29-7,solvent,0,0,1
626-95-9,Unresolved CAS 626-95-9,solvent,0,0,1
75-89-8,Unresolved CAS 75-89-8,solvent,0,0,1
98-08-8,Unresolved CAS 98-08-8,solvent,0,0,1
7732-18-5,Water,solvent+reagent/base/additive,0,164,501
121-44-8,Triethylamine (NEt3),solvent+reagent/base/additive,0,136,1
107-21-1,Unresolved CAS 107-21-1,solvent+reagent/base/additive,0,12,19
67-68-5,DMSO,solvent+reagent/base/additive,0,1,863
110-54-3,Hexane,solvent+reagent/base/additive,0,1,10
7226-23-5,Unresolved CAS 7226-23-5,solvent+reagent/base/additive,0,1,6
7789-20-0,Unresolved CAS 7789-20-0,solvent+reagent/base/additive,0,1,1
66-71-7,"1,10-Phenanthroline",solvent+reagent/base/additive+catalyst/ligand,187,6,1
1121-22-8,Unresolved CAS 1121-22-8,solvent+reagent/base/additive+catalyst/ligand,51,22,1
1118-68-9,Unresolved CAS 1118-68-9,solvent+reagent/base/additive+catalyst/ligand,3,10,1
110-86-1,Unresolved CAS 110-86-1,solvent+reagent/base/additive+catalyst/ligand,2,38,3
