ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS
RXN000722,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CC(N2CCOCC2)CCN1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCC(N5CCOCC5)CC4)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000723,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""CC(C)(C)OC(=O)N1CCNCC1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)c1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000724,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""Na2CO3"", ""10294-26-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""CC(C)(C)c1ccccc1NC(=O)c1ccccc1Br"", ""CC(=O)c1ccc(-c2ccc(I)c3ccccc23)cc1""]","[""CC(=O)c1ccc(-c2cc3c4ccccc4c(=O)n(-c4ccccc4C(C)(C)C)c3c3ccccc23)cc1""]","Nature Communications (2024), 15(1), 4908",Pd/none/Na2CO3+10294-26-5/Tol+H2O,AFF02F1C,585C38D0,51364-51-3 + 2641594-79-6 + 498-66-8 + 10294-26-5 + 108-88-3 + 7732-18-5
RXN000725,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1COCCN1"", ""COc1cccc(-n2c(C=Cc3cccc(OC)n3)nc3ccc(Cl)cc3c2=O)c1""]","[""COc1cccc(-n2c(C=Cc3cccc(OC)n3)nc3ccc(N4CCOCC4)cc3c2=O)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000726,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""RuPhos""]","[""NaOtBu""]","[""BASE""]","[""Tol""]",,,81.0,"[""Brc1ccc(-c2ccccc2)cc1"", ""Cc1cc(Nc2c(C)cc(C)cc2C)cc(Nc2c(C)cc(C)cc2C)c1""]","[""Cc1cc(N(c2ccc(-c3ccccc3)cc2)c2c(C)cc(C)cc2C)cc(N(c2ccc(-c3ccccc3)cc2)c2c(C)cc(C)cc2C)c1""]","Angewandte Chemie, International Edition (2024), 63(18), e202402020",Pd/RuPhos/NaOtBu/Tol,B5968013,B5968013,51364-51-3 + 787618-22-8 + 865-48-5 + 108-88-3
RXN000727,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNCC1"", ""COc1cc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)cc(OC)c1""]","[""COc1cc(/C=C/c2nc3ccc(N4CCCCC4)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)cc(OC)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000728,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""Na2CO3"", ""10294-26-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""Ic1cccc2ccccc12"", ""COc1cc(Br)c(C(=O)Nc2ccccc2C(C)(C)C)cc1OC""]","[""COc1cc2c(=O)n(-c3ccccc3C(C)(C)C)c3c4ccccc4ccc3c2cc1OC""]","Nature Communications (2024), 15(1), 4908",Pd/none/Na2CO3+10294-26-5/Tol+H2O,AFF02F1C,585C38D0,51364-51-3 + 2641594-79-6 + 498-66-8 + 10294-26-5 + 108-88-3 + 7732-18-5
RXN000729,Buchwald,[],"[""Pd""]","[""none""]","[""NaOH""]","[""BASE""]","[""Anisole""]",,,81.0,"[""NNc1ccccc1"", ""Ic1ccccc1"", ""[C-]#[O+]"", ""O=Cc1ccc(-c2ccccc2)cc1""]","[""O=C(c1ccccc1)N(/N=C/c1ccc(-c2ccccc2)cc1)c1ccccc1""]","Journal of Organic Chemistry (2024), 89(12), 8537-8545",Pd/none/NaOH/Anisole,BCB4B599,BCB4B599,53199-31-8 + 1310-73-2 + 100-66-3
RXN000730,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""Xantphos""]","[""NaOtBu""]","[""BASE""]","[""Tol""]",,,81.0,"[""C1COCCN1"", ""COCC1(c2cccc(Br)c2)CC1""]","[""COCC1(c2cccc(N3CCOCC3)c2)CC1""]","Angewandte Chemie, International Edition (2023), 62(14), e202300199",Pd/Xantphos/NaOtBu/Tol,4B8960D9,4B8960D9,51364-51-3 + 161265-03-8 + 865-48-5 + 108-88-3
RXN000731,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""none""]","[""NaOtBu""]","[""BASE""]","[""Tol""]",,,81.0,"[""COc1ccc(Br)cc1"", ""c1ccc2c(c1)Nc1ccccc1N2""]","[""COc1ccc(N2c3ccccc3N(c3ccc(OC)cc3)c3ccccc32)cc1""]","Advanced Optical Materials (2023), 11(20), 2300604",Pd/none/NaOtBu/Tol,F22A19A8,F22A19A8,3375-31-3 + 13716-12-6 + 865-48-5 + 108-88-3
