ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS
RXN000000,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""BrettPhos""]","[""none""]","[""UNK""]","[""Tol""]",,,100,COC1=CC=C(Br)C=C1.COC(=O)C1=CC(OC)=C(N)C=C1,COC(=O)C1=CC(OC)=C(NC2=CC=C(OC)C=C2)C=C1,"Synlett (2008), (11), 1698-1702",Pd/BrettPhos/none/Tol,6e71ff24,6e71ff24,3375-31-3 + 657408-07-6 + 108-88-3
RXN000001,Buchwald,"[""PdCl2[P(o-tolyl)3]2""]","[""Pd""]","[""none""]","[""none""]","[""UNK""]","[""Tol""]",,,100,CC1=CC=C(Br)C=C1.COC1=CC=C(NCCC2C=CCC2)C=C1,COC1=CC=C(N(CCC2C=CCC2)C2=CC=C(C)C=C2)C=C1,"Journal of the American Chemical Society (2005), 127(24), 8644-8651",Pd/none/none/Tol,3cfdf990,3cfdf990,53199-31-8 + 108-88-3
RXN000002,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""XPhos""]","[""none""]","[""UNK""]","[""Tol""]",,,100,CC1=CC=CC(C)=C1N.CC1=CC=C(Br)C=C1,CC1=CC=C(NC2=C(C)C=CC=C2C)C=C1,"Journal of Organic Chemistry (2013), 78(10), 4649-4664",Pd/XPhos/none/Tol,5aae619e,5aae619e,51364-51-3 + 101069-13-0 + 108-88-3
RXN000003,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""none""]","[""141556-45-8""]","[""UNK""]","[""Tol""]",,,100,CC1=CC=C(Br)C=C1.C1=CC=C(C2=CC3=CC=CC=C3N2)C=C1,CC1=CC=C(N2C3=CC=CC=C3C=C2C2=CC=CC=C2)C=C1,"Journal of Organic Chemistry (2001), 66(23), 7729-7737",Pd/none/141556-45-8/Tol,87e242d4,ad221ada,3375-31-3 + 141556-45-8 + 108-88-3
RXN000004,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""tBuXPhos""]","[""none""]","[""UNK""]","[""DME""]",,,100,CC1=CC=C(Cl)C=C1.C1COCCN1,CC1=CC=C(N2CCOCC2)C=C1,"Organic Letters (2000), 2(10), 1423-1426",Pd/tBuXPhos/none/DME,bd8e76cc,bd8e76cc,51364-51-3 + 282109-83-5 + 110-71-4
RXN000005,Buchwald,"[""none""]","[""none""]","[""none""]","[""1586000-47-6""]","[""UNK""]","[""Dioxane""]",,,98,CC1=CC=C(Cl)C=C1.C1COCCN1,CC1=CC=C(N2CCOCC2)C=C1,"Organometallics (2014), 33(7), 1587-1593",none/none/1586000-47-6/Dioxane,26f4d026,1b87c29f,1586000-47-6 + 123-91-1
RXN000006,Buchwald,"[""Pd2(dba)3·CHCl3""]","[""Pd""]","[""tBuXPhos""]","[""none""]","[""UNK""]","[""Tol""]",,,98,CC1=CC=C(Cl)C=C1.C1COCCN1,CC1=CC=C(N2CCOCC2)C=C1,"Journal of Organic Chemistry (2002), 67(16), 5553-5566",Pd/tBuXPhos/none/Tol,76229f4d,76229f4d,32005-36-0 + 312959-24-3 + 108-88-3
RXN000007,Buchwald,"[""none""]","[""none""]","[""none""]","[""884879-24-7""]","[""UNK""]","[""DME""]",,,95,CC1=CC=C(Cl)C=C1.C1COCCN1,CC1=CC=C(N2CCOCC2)C=C1,"Journal of the American Chemical Society (2006), 128(12), 4101-4111",none/none/884879-24-7/DME,a530b99d,41c5e750,884879-24-7 + 110-71-4
RXN000008,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""331465-71-5""]","[""UNK""]","[""Tol""]",,,95,CC1=CC=C(Cl)C=C1.C1COCCN1,CC1=CC=C(N2CCOCC2)C=C1,"Organic Letters (2003), 5(6), 815-818",Pd/none/331465-71-5/Tol,9c3dc09a,a0131a2e,51364-51-3 + 331465-71-5 + 108-88-3
RXN000009,Buchwald,"[""PdCl2[P(o-tolyl)3]2""]","[""Pd""]","[""none""]","[""57-09-0""]","[""UNK""]","[""Tol""]",,,100,CC1=CC=C(Cl)C=C1.CCCCNCCCC,CCCCN(CCCC)C1=CC=C(C)C=C1,"Journal of Organic Chemistry (2002), 67(18), 6479-6486",Pd/none/57-09-0/Tol,596c5af4,cdc7c85b,57-09-0 + 53199-31-8 + 108-88-3
RXN000010,Buchwald,"[""PdCl2[P(o-tolyl)3]2""]","[""Pd""]","[""none""]","[""none""]","[""UNK""]","[""Tol""]",,,100,CC1=CC=C(Cl)C=C1.CCCCNCCCC,CCCCN(CCCC)C1=CC=C(C)C=C1,"Journal of Organic Chemistry (2002), 67(18), 6479-6486",Pd/none/none/Tol,3cfdf990,3cfdf990,53199-31-8 + 108-88-3
RXN000011,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""none""]","[""60633-21-8""]","[""UNK""]","[""Tol""]",,,98,CC1=CC=C(Cl)C=C1.CCCCNCCCC,CCCCN(CCCC)C1=CC=C(C)C=C1,"Journal of Organic Chemistry (2006), 71(14), 5117-5125",Pd/none/60633-21-8/Tol,22f8fc3c,cbc30ab1,3375-31-3 + 60633-21-8 + 108-88-3
RXN000012,Buchwald,"[""none""]","[""none""]","[""none""]","[""884879-24-7""]","[""UNK""]","[""DME""]",,,97,CC1=CC=C(Cl)C=C1.CCCCNCCCC,CCCCN(CCCC)C1=CC=C(C)C=C1,"Journal of the American Chemical Society (2006), 128(12), 4101-4111",none/none/884879-24-7/DME,a530b99d,41c5e750,884879-24-7 + 110-71-4
